filepath,filename,class_name,label_id,split,raw_source_id,G09_Date_Magnification,G14_RAWSource
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/10_1.tif,10_1.tif,Adenovirus,0,train,train/Adenovirus/A4-080201_7.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/A4-080201_7.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/19_1.tif,19_1.tif,Adenovirus,0,train,train/Adenovirus/A4-65k-071120_9.tif,2009-10-19 14:30:10 | 73000,train/Adenovirus/A4-65k-071120_9.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/19_2.tif,19_2.tif,Adenovirus,0,train,train/Adenovirus/A4-65k-071120_9.tif,2009-10-19 14:30:10 | 73000,train/Adenovirus/A4-65k-071120_9.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/1_1.tif,1_1.tif,Adenovirus,0,train,train/Adenovirus/A4-080201_1.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/A4-080201_1.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/20_1.tif,20_1.tif,Adenovirus,0,train,train/Adenovirus/A4-93k-071120_16.tif,2009-10-19 14:30:14 | 105000,train/Adenovirus/A4-93k-071120_16.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/21_1.tif,21_1.tif,Adenovirus,0,train,train/Adenovirus/B2-080201_16.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-080201_16.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/21_2.tif,21_2.tif,Adenovirus,0,train,train/Adenovirus/B2-080201_16.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-080201_16.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/22_1.tif,22_1.tif,Adenovirus,0,train,train/Adenovirus/B2-080201_17.tif,2009-10-19 14:30:12 | 73000,train/Adenovirus/B2-080201_17.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/22_2.tif,22_2.tif,Adenovirus,0,train,train/Adenovirus/B2-080201_17.tif,2009-10-19 14:30:12 | 73000,train/Adenovirus/B2-080201_17.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/23_1.tif,23_1.tif,Adenovirus,0,train,train/Adenovirus/B2-080201_19.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-080201_19.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/24_1.tif,24_1.tif,Adenovirus,0,train,train/Adenovirus/B2-080201_20.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-080201_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/25_1.tif,25_1.tif,Adenovirus,0,train,train/Adenovirus/B2-080201_22.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-080201_22.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/26_1.tif,26_1.tif,Adenovirus,0,train,train/Adenovirus/B2-080201_24.tif,2009-10-19 14:30:12 | 73000,train/Adenovirus/B2-080201_24.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/27_1.tif,27_1.tif,Adenovirus,0,train,train/Adenovirus/B2-65-070913_9.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65-070913_9.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/27_2.tif,27_2.tif,Adenovirus,0,train,train/Adenovirus/B2-65-070913_9.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65-070913_9.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/27_3.tif,27_3.tif,Adenovirus,0,train,train/Adenovirus/B2-65-070913_9.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65-070913_9.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/27_4.tif,27_4.tif,Adenovirus,0,train,train/Adenovirus/B2-65-070913_9.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65-070913_9.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/27_5.tif,27_5.tif,Adenovirus,0,train,train/Adenovirus/B2-65-070913_9.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65-070913_9.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/28_1.tif,28_1.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_11.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65k-070913_11.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/28_10.tif,28_10.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_11.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65k-070913_11.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/28_2.tif,28_2.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_11.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65k-070913_11.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/28_3.tif,28_3.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_11.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65k-070913_11.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/28_4.tif,28_4.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_11.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65k-070913_11.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/28_5.tif,28_5.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_11.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65k-070913_11.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/28_6.tif,28_6.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_11.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65k-070913_11.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/28_7.tif,28_7.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_11.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65k-070913_11.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/28_8.tif,28_8.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_11.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65k-070913_11.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/28_9.tif,28_9.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_11.tif,2009-10-19 14:30:14 | 73000,train/Adenovirus/B2-65k-070913_11.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/29_1.tif,29_1.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_3.tif,2009-10-19 14:30:12 | 73000,train/Adenovirus/B2-65k-070913_3.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/29_2.tif,29_2.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_3.tif,2009-10-19 14:30:12 | 73000,train/Adenovirus/B2-65k-070913_3.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/29_3.tif,29_3.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_3.tif,2009-10-19 14:30:12 | 73000,train/Adenovirus/B2-65k-070913_3.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/29_4.tif,29_4.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_3.tif,2009-10-19 14:30:12 | 73000,train/Adenovirus/B2-65k-070913_3.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/29_5.tif,29_5.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_3.tif,2009-10-19 14:30:12 | 73000,train/Adenovirus/B2-65k-070913_3.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/2_1.tif,2_1.tif,Adenovirus,0,train,train/Adenovirus/A4-080201_11.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/A4-080201_11.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/2_2.tif,2_2.tif,Adenovirus,0,train,train/Adenovirus/A4-080201_11.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/A4-080201_11.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/30_1.tif,30_1.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_5.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-070913_5.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/30_2.tif,30_2.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_5.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-070913_5.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/30_3.tif,30_3.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_5.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-070913_5.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/30_4.tif,30_4.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_5.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-070913_5.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/30_5.tif,30_5.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-070913_5.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-070913_5.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/31_1.tif,31_1.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_13.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_13.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/31_2.tif,31_2.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_13.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_13.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/31_3.tif,31_3.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_13.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_13.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/31_4.tif,31_4.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_13.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_13.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/31_5.tif,31_5.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_13.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_13.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/31_6.tif,31_6.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_13.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_13.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/31_7.tif,31_7.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_13.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_13.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/31_8.tif,31_8.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_13.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_13.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/32_1.tif,32_1.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_1a.tif,2009-10-19 14:30:12 | 73000,train/Adenovirus/B2-65k-071019_1a.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/32_2.tif,32_2.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_1a.tif,2009-10-19 14:30:12 | 73000,train/Adenovirus/B2-65k-071019_1a.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/33_1.tif,33_1.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_2.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_2.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/33_2.tif,33_2.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_2.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_2.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/33_3.tif,33_3.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_2.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_2.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/33_4.tif,33_4.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_2.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_2.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/33_5.tif,33_5.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_2.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_2.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/33_6.tif,33_6.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_2.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_2.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/33_7.tif,33_7.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_2.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_2.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/33_8.tif,33_8.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_2.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_2.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/33_9.tif,33_9.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_2.tif,2009-10-19 14:30:11 | 73000,train/Adenovirus/B2-65k-071019_2.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_1.tif,34_1.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_10.tif,34_10.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_11.tif,34_11.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_12.tif,34_12.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_13.tif,34_13.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_14.tif,34_14.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_15.tif,34_15.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_16.tif,34_16.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_17.tif,34_17.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_18.tif,34_18.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_19.tif,34_19.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_2.tif,34_2.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_20.tif,34_20.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_3.tif,34_3.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_4.tif,34_4.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_5.tif,34_5.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_6.tif,34_6.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_7.tif,34_7.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_8.tif,34_8.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/34_9.tif,34_9.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_20.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_20.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/35_1.tif,35_1.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_5.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_5.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/35_2.tif,35_2.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_5.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_5.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/35_3.tif,35_3.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_5.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_5.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/35_4.tif,35_4.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_5.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_5.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/35_5.tif,35_5.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_5.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_5.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/35_6.tif,35_6.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_5.tif,2009-10-19 14:30:13 | 73000,train/Adenovirus/B2-65k-071019_5.tif
/content/tem_virus_dataset_extracted/TEM virus dataset/context_virus_1nm_256x256/train/Adenovirus/36_1.tif,36_1.tif,Adenovirus,0,train,train/Adenovirus/B2-65k-071019_7.tif,2009-10-19 14:30:10 | 73000,train/Adenovirus/B2-65k-071019_7.tif
